#At time x process y state arr w total z remain y wait k
At time 5 process 1 started arr 5 total 10 remain 10 wait 0
At time 12 process 1 stopped arr 5 total 10 remain 28268340 wait 28268337
At time 13 process 2 started arr 12 total 11 remain 11 wait 1
At time 13 process 2 stopped arr 12 total 11 remain 16 wait 6
At time 14 process 1 resumed arr 5 total 10 remain 28268340 wait 28268339
At time 14 process 1 stopped arr 5 total 10 remain 28268345 wait 28268344
At time 15 process 3 started arr 12 total 1 remain 1 wait 3
At time 15 process 3 stopped arr 12 total 1 remain 6 wait 8
At time 16 process 2 resumed arr 12 total 11 remain 16 wait 9
At time 16 process 2 stopped arr 12 total 11 remain 21 wait 14
At time 17 process 1 resumed arr 5 total 10 remain 28268345 wait 28268347
At time 17 process 1 stopped arr 5 total 10 remain 28268350 wait 28268352
At time 18 process 3 resumed arr 12 total 1 remain 6 wait 11
At time 18 process 3 stopped arr 12 total 1 remain 11 wait 16
At time 19 process 2 resumed arr 12 total 11 remain 21 wait 17
At time 19 process 2 stopped arr 12 total 11 remain 26 wait 22
At time 20 process 1 resumed arr 5 total 10 remain 28268350 wait 28268355
At time 20 process 1 stopped arr 5 total 10 remain 28268355 wait 28268360
At time 21 process 3 resumed arr 12 total 1 remain 11 wait 19
At time 21 process 3 stopped arr 12 total 1 remain 16 wait 24
At time 22 process 2 resumed arr 12 total 11 remain 26 wait 25
At time 22 process 2 stopped arr 12 total 11 remain 31 wait 30
At time 23 process 1 resumed arr 5 total 10 remain 28268355 wait 28268363
At time 23 process 1 stopped arr 5 total 10 remain 28268360 wait 28268368
At time 24 process 3 resumed arr 12 total 1 remain 16 wait 27
At time 24 process 3 stopped arr 12 total 1 remain 21 wait 32
At time 25 process 2 resumed arr 12 total 11 remain 31 wait 33
At time 25 process 2 stopped arr 12 total 11 remain 36 wait 38
At time 26 process 1 resumed arr 5 total 10 remain 28268360 wait 28268371
At time 26 process 1 stopped arr 5 total 10 remain 28268365 wait 28268376
At time 27 process 3 resumed arr 12 total 1 remain 21 wait 35
At time 27 process 3 stopped arr 12 total 1 remain 26 wait 40
At time 28 process 2 resumed arr 12 total 11 remain 36 wait 41
At time 28 process 2 stopped arr 12 total 11 remain 41 wait 46
At time 29 process 1 resumed arr 5 total 10 remain 28268365 wait 28268379
At time 29 process 1 stopped arr 5 total 10 remain 28268370 wait 28268384
At time 30 process 3 resumed arr 12 total 1 remain 26 wait 43
At time 30 process 3 stopped arr 12 total 1 remain 31 wait 48
At time 31 process 2 resumed arr 12 total 11 remain 41 wait 49
At time 31 process 2 stopped arr 12 total 11 remain 46 wait 54
At time 32 process 1 resumed arr 5 total 10 remain 28268370 wait 28268387
At time 32 process 1 stopped arr 5 total 10 remain 28268375 wait 28268392
At time 33 process 3 resumed arr 12 total 1 remain 31 wait 51
At time 33 process 3 stopped arr 12 total 1 remain 36 wait 56
At time 34 process 2 resumed arr 12 total 11 remain 46 wait 57
At time 34 process 2 stopped arr 12 total 11 remain 51 wait 62
At time 35 process 1 resumed arr 5 total 10 remain 28268375 wait 28268395
At time 35 process 1 stopped arr 5 total 10 remain 28268380 wait 28268400
At time 36 process 3 resumed arr 12 total 1 remain 36 wait 59
At time 36 process 3 stopped arr 12 total 1 remain 41 wait 64
At time 37 process 2 resumed arr 12 total 11 remain 51 wait 65
At time 37 process 2 stopped arr 12 total 11 remain 56 wait 70
At time 38 process 1 resumed arr 5 total 10 remain 28268380 wait 28268403
At time 38 process 1 stopped arr 5 total 10 remain 28268385 wait 28268408
At time 39 process 3 resumed arr 12 total 1 remain 41 wait 67
At time 39 process 3 stopped arr 12 total 1 remain 46 wait 72
At time 40 process 2 resumed arr 12 total 11 remain 56 wait 73
At time 40 process 2 stopped arr 12 total 11 remain 61 wait 78
At time 41 process 1 resumed arr 5 total 10 remain 28268385 wait 28268411
At time 41 process 1 stopped arr 5 total 10 remain 28268390 wait 28268416
At time 42 process 3 resumed arr 12 total 1 remain 46 wait 75
At time 42 process 3 stopped arr 12 total 1 remain 51 wait 80
At time 43 process 2 resumed arr 12 total 11 remain 61 wait 81
At time 43 process 2 stopped arr 12 total 11 remain 66 wait 86
At time 44 process 1 resumed arr 5 total 10 remain 28268390 wait 28268419
At time 44 process 1 stopped arr 5 total 10 remain 28268395 wait 28268424
At time 45 process 3 resumed arr 12 total 1 remain 51 wait 83
At time 45 process 3 stopped arr 12 total 1 remain 56 wait 88
At time 46 process 2 resumed arr 12 total 11 remain 66 wait 89
At time 46 process 2 stopped arr 12 total 11 remain 71 wait 94
At time 47 process 1 resumed arr 5 total 10 remain 28268395 wait 28268427
At time 47 process 1 stopped arr 5 total 10 remain 28268400 wait 28268432
At time 48 process 3 resumed arr 12 total 1 remain 56 wait 91
At time 48 process 3 stopped arr 12 total 1 remain 61 wait 96
At time 49 process 2 resumed arr 12 total 11 remain 71 wait 97
At time 49 process 2 stopped arr 12 total 11 remain 76 wait 102
At time 50 process 1 resumed arr 5 total 10 remain 28268400 wait 28268435
At time 50 process 1 stopped arr 5 total 10 remain 28268405 wait 28268440
At time 51 process 3 resumed arr 12 total 1 remain 61 wait 99
At time 51 process 3 stopped arr 12 total 1 remain 66 wait 104
